ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,1
Basic Problems B,Basic Problem B-02,1
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,1
Basic Problems B,Basic Problem B-05,1
Basic Problems B,Basic Problem B-06,1
Basic Problems B,Basic Problem B-07,1
Basic Problems B,Basic Problem B-08,1
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,1
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Basic Problems C,Basic Problem C-01,1
Basic Problems C,Basic Problem C-02,1
Basic Problems C,Basic Problem C-03,1
Basic Problems C,Basic Problem C-04,1
Basic Problems C,Basic Problem C-05,1
Basic Problems C,Basic Problem C-06,1
Basic Problems C,Basic Problem C-07,1
